iter	Logloss
0	0.3073761768
1	0.1280561646
2	0.05515939148
3	0.02719103424
4	0.01309888367
5	0.006577176437
6	0.003575234108
7	0.002068197803
8	0.001306425056
9	0.0008191324329
10	0.000536628871
11	0.0003527739286
12	0.0002546169925
13	0.0001821724725
14	0.0001309392262
15	0.0001035167372
16	9.096934915e-05
17	7.19328475e-05
18	5.721963108e-05
19	5.242115498e-05
20	4.909082592e-05
21	4.8054533e-05
22	4.8054533e-05
23	4.8054533e-05
24	4.8054533e-05
25	4.8054533e-05
26	4.808423281e-05
27	4.808423281e-05
28	4.708850265e-05
29	4.708850265e-05
30	4.714012623e-05
31	4.714012623e-05
32	4.714012623e-05
33	4.714012623e-05
34	4.714012623e-05
35	4.714012623e-05
36	4.714012623e-05
37	4.714012623e-05
38	4.714012623e-05
39	4.714012623e-05
40	4.714012623e-05
41	4.714012623e-05
42	4.714012623e-05
43	4.714012623e-05
44	4.714012623e-05
45	4.714012623e-05
46	4.714012623e-05
47	4.714012623e-05
48	4.714012623e-05
49	4.714012623e-05
50	4.714012623e-05
51	4.714012623e-05
52	4.714012623e-05
53	4.714012623e-05
54	4.714012623e-05
55	4.714012623e-05
56	4.714012623e-05
57	4.714012623e-05
58	4.714012623e-05
59	4.714012623e-05
60	4.714012623e-05
61	4.714012623e-05
62	4.714012623e-05
63	4.714012623e-05
64	4.714012623e-05
65	4.714012623e-05
66	4.714012623e-05
67	4.714012623e-05
68	4.714012623e-05
69	4.714012623e-05
70	4.714012623e-05
71	4.714012623e-05
72	4.714012623e-05
73	4.706377387e-05
74	4.710502207e-05
75	4.710502207e-05
76	4.710502207e-05
77	4.710502207e-05
78	4.710502207e-05
79	4.710502207e-05
80	4.710502207e-05
81	4.710502207e-05
82	4.710502207e-05
83	4.710502207e-05
84	4.710502207e-05
85	4.710502207e-05
86	4.710502207e-05
87	4.710502207e-05
88	4.710502207e-05
89	4.710502207e-05
90	4.710502207e-05
91	4.710502207e-05
92	4.710502207e-05
93	4.710502207e-05
94	4.710502207e-05
95	4.710502207e-05
96	4.710502207e-05
97	4.710502207e-05
98	4.710502207e-05
99	4.710502207e-05
100	4.710502207e-05
101	4.710502207e-05
102	4.710502207e-05
103	4.710502207e-05
104	4.710502207e-05
105	4.710502207e-05
106	4.710502207e-05
107	4.710502207e-05
108	4.710502207e-05
109	4.710502207e-05
110	4.710502207e-05
111	4.710502207e-05
112	4.710502207e-05
113	4.710502207e-05
114	4.710502207e-05
115	4.710502207e-05
116	4.713422418e-05
117	4.713422418e-05
118	4.713422418e-05
119	4.713422418e-05
120	4.713583171e-05
121	4.709931254e-05
122	4.709931254e-05
123	4.709931254e-05
124	4.709931254e-05
125	4.709931254e-05
126	4.709931254e-05
127	4.707245708e-05
128	4.707245708e-05
129	4.707245708e-05
130	4.707245708e-05
131	4.707245708e-05
132	4.707245708e-05
133	4.707245708e-05
134	4.711623669e-05
135	4.711623669e-05
136	4.708474755e-05
137	4.709145904e-05
138	4.709145904e-05
139	4.709145904e-05
140	4.709145904e-05
141	4.709145904e-05
142	4.709145904e-05
143	4.709145904e-05
144	4.709145904e-05
145	4.709145904e-05
146	4.709145904e-05
147	4.709145904e-05
148	4.709145904e-05
149	4.709145904e-05
150	4.709145904e-05
151	4.709145904e-05
152	4.709145904e-05
153	4.709145904e-05
154	4.709145904e-05
155	4.709145904e-05
156	4.709145904e-05
157	4.709145904e-05
158	4.709145904e-05
159	4.709145904e-05
160	4.709145904e-05
161	4.709145904e-05
162	4.709145904e-05
163	4.709145904e-05
164	4.709145904e-05
165	4.709145904e-05
166	4.709145904e-05
167	4.709145904e-05
168	4.709145904e-05
169	4.709145904e-05
170	4.709145904e-05
171	4.709145904e-05
172	4.709145904e-05
173	4.709145904e-05
174	4.709145904e-05
175	4.709145904e-05
176	4.709145904e-05
177	4.709145904e-05
178	4.709145904e-05
179	4.709145904e-05
180	4.709145904e-05
181	4.709145904e-05
182	4.709145904e-05
183	4.709145904e-05
184	4.709145904e-05
185	4.709145904e-05
186	4.709145904e-05
187	4.709145904e-05
188	4.709145904e-05
189	4.709145904e-05
190	4.709145904e-05
191	4.709145904e-05
192	4.709145904e-05
193	4.709145904e-05
194	4.709145904e-05
195	4.709145904e-05
196	4.709145904e-05
197	4.709145904e-05
198	4.709145904e-05
199	4.709145904e-05
